t,balanced_sigma,growth_rate,M_norm,parent_M_norm
182,0.12,0.0008,0.3690398634877083,3.109884790134956
183,0.12,0.0008,0.33405899091475066,3.109884790134956
184,0.12,0.0008,0.3672016073592681,3.109884790134956
185,0.12,0.0008,0.4004068916958725,3.109884790134956
186,0.12,0.0008,0.4085782016615656,3.109884790134956
187,0.12,0.0008,0.3659502105839811,3.109884790134956
188,0.12,0.0008,0.3472668201971685,3.109884790134956
189,0.12,0.0008,0.37803682013000894,3.109884790134956
190,0.12,0.0008,0.45529617110693776,3.109884790134956
191,0.12,0.0008,0.49165480428110564,3.109884790134956
192,0.12,0.0008,0.5026425473081473,3.109884790134956
193,0.12,0.0008,0.5023248643034314,3.109884790134956
194,0.12,0.0008,0.4391385658946812,3.109884790134956
195,0.12,0.0008,0.36014126760522064,3.109884790134956
196,0.12,0.0008,0.4385782513324766,3.109884790134956
197,0.12,0.0008,0.3621772330652188,3.109884790134956
198,0.12,0.0008,0.30962561885034445,3.109884790134956
199,0.12,0.0008,0.2359994381230706,3.109884790134956
0,0.22,0.0003,0.6698189477189196,7.73692740706347
1,0.22,0.0003,0.6331134723402241,7.73692740706347
2,0.22,0.0003,0.5236823990278814,7.73692740706347
3,0.22,0.0003,0.6207134817384077,7.73692740706347
4,0.22,0.0003,0.6228604015276314,7.73692740706347
5,0.22,0.0003,0.6838547710267515,7.73692740706347
6,0.22,0.0003,0.6149057759391997,7.73692740706347
7,0.22,0.0003,0.6095560232260293,7.73692740706347
8,0.22,0.0003,0.6352730916428927,7.73692740706347
9,0.22,0.0003,0.6098390254932043,7.73692740706347
10,0.22,0.0003,0.7077373135810165,7.73692740706347
11,0.22,0.0003,0.7152190362692329,7.73692740706347
12,0.22,0.0003,0.6908157054144499,7.73692740706347
13,0.22,0.0003,0.7029045432389982,7.73692740706347
14,0.22,0.0003,0.6407657556983942,7.73692740706347
15,0.22,0.0003,0.5951059418526162,7.73692740706347
16,0.22,0.0003,0.7136935587965038,7.73692740706347
17,0.22,0.0003,0.7165065151342194,7.73692740706347
18,0.22,0.0003,0.6424939776770254,7.73692740706347
19,0.22,0.0003,0.5645422390658793,7.73692740706347
20,0.22,0.0003,0.6325417330253154,7.73692740706347
21,0.22,0.0003,0.5456631395279313,7.73692740706347
22,0.22,0.0003,0.5210648205253466,7.73692740706347
23,0.22,0.0003,0.5915648414338154,7.73692740706347
24,0.22,0.0003,0.6646940375490894,7.73692740706347
25,0.22,0.0003,0.7021472688833461,7.73692740706347
26,0.22,0.0003,0.732810434178214,7.73692740706347
27,0.22,0.0003,0.7278769859474131,7.73692740706347
28,0.22,0.0003,0.7520743831718121,7.73692740706347
29,0.22,0.0003,0.7395410254997103,7.73692740706347
30,0.22,0.0003,0.757719999637908,7.73692740706347
31,0.22,0.0003,0.782798712966979,7.73692740706347
32,0.22,0.0003,0.8704508938421157,7.73692740706347
33,0.22,0.0003,0.9640608028639263,7.73692740706347
